"","userId","movieId","rating","timestamp","index","bin","check"
"32354",221,1245,5,1119984167,943,49,2211245
"91734",595,1094,4,938807597,832,19,5951094
"60576",391,1619,2,1031030749,1218,35,3911619
"23965",166,3563,2.5,1189038035,2657,61,1663563
"87713",565,539,3,846533399,472,4,565539
"80948",510,40819,3.5,1141159637,6046,53,51040819
"94489",599,34148,3,1498525841,5919,112,59934148
"92942",599,880,2.5,1498516534,668,112,599880
"50556",326,48516,5,1322251825,6298,83,32648516
"584",6,36,5,845553726,33,4,636
"1225",10,86548,3,1455398396,7578,105,1086548
"33602",227,49272,3.5,1447210566,6329,103,22749272
"71076",453,3787,5,972621516,2826,25,4533787
"100686",610,111364,3.5,1493845740,8408,111,610111364
"52591",344,380,5,1420496514,337,99,344380
"9484",64,432,2.5,1161519711,376,56,64432
"969",7,6863,4.5,1106712827,4600,47,76863
"8176",57,999,2,972174733,760,25,57999
"42594",288,2455,3,975691479,1845,25,2882455
"90455",588,318,5,839316184,277,3,588318
"25826",178,589,4,1164355211,507,57,178589
"86930",561,33679,1,1491091463,5895,111,56133679
"23684",161,2144,2,1176498658,1601,59,1612144
"15580",103,107,3.5,1431968291,95,101,103107
"50456",325,5266,4,1039395799,3765,36,3255266
"72017",463,3448,3,1145459479,2576,53,4633448
"92810",599,442,2.5,1498513993,385,112,599442
"21897",142,595,4,838932132,512,3,142595
"15331",100,553,4.5,1100183810,485,46,100553
"46770",307,185,2.5,1227538428,156,67,307185
"31747",219,3000,5,1194686012,2258,62,2193000
"14494",91,3081,5,1112711807,2324,48,913081
"2143",18,71156,3,1455749513,7109,105,1871156
"88684",573,104,5,1187044894,92,60,573104
"35885",244,736,2,975093513,594,25,244736
"20269",133,50,3,843491446,46,4,13350
"62341",414,95,2,961515958,84,23,41495
"37978",260,101,2,1109408704,89,48,260101
"47536",307,32031,2.5,1186173703,5805,60,30732031
"99161",608,3439,2,1117506745,2568,49,6083439
"79649",495,39446,0.5,1458636797,6022,105,49539446
"30925",217,218,3,955944682,186,22,217218
"40049",274,6373,2.5,1173041098,4350,58,2746373
"11344",68,53129,4.5,1261086126,6473,73,6853129
"23307",160,671,1,971114178,558,25,160671
"6334",43,110,3,848993747,97,4,43110
"91129",590,8368,4,1258422259,5156,72,5908368
"47173",307,3264,2.5,1186087392,2449,60,3073264
"67463",437,6,5,859721015,5,6,4376
"45715",303,3175,4,1053303225,2391,38,3033175
"52399",340,454,3,848666436,395,4,340454
"51372",332,208,2,1352673137,176,88,332208
"71438",460,169,1,1359176269,141,89,460169
"28850",199,5299,3.5,1060288943,3785,39,1995299
"3601",21,112138,3.5,1500701849,8431,112,21112138
"19071",122,91535,4,1461562323,7751,106,12291535
"60820",393,541,0.5,1430506010,474,101,393541
"12131",74,7087,4,1207501191,4752,64,747087
"70554",449,4226,4.5,1053199976,3136,38,4494226
"85959",558,4062,4,1035416375,3030,35,5584062
"76808",480,6708,3.5,1179178693,4519,59,4806708
"87279",562,53468,4,1368893067,6490,90,56253468
"73890",474,2770,3.5,1100292313,2083,46,4742770
"8388",57,2580,3,972172183,1945,25,572580
"50614",326,116797,4.5,1437419070,8551,102,326116797
"71422",459,8636,3,1520233632,5250,115,4598636
"46329",305,56174,3.5,1460135196,6613,105,30556174
"78719",489,2138,3.5,1333657391,1595,85,4892138
"15543",102,364,4,835876151,322,2,102364
"15648",103,1221,4.5,1431954396,921,101,1031221
"20718",136,585,1,832449964,503,2,136585
"49073",318,1196,3,1254132819,897,71,3181196
"81055",513,235,4.5,1159980374,201,56,513235
"18178",115,780,2,970838729,615,25,115780
"19376",125,62336,4.5,1474374208,6842,108,12562336
"21839",141,60069,5,1513130248,6755,114,14160069
"98823",608,809,3.5,1117506443,636,49,608809
"93210",599,1729,4,1498498824,1294,112,5991729
"79332",492,619,3,863976722,530,7,492619
"30221",211,4011,4.5,1350912886,2992,87,2114011
"86819",561,3704,3.5,1491092099,2762,111,5613704
"67821",438,3255,3.5,1105667248,2440,47,4383255
"44091",294,1021,1,966596327,779,24,2941021
"13106",84,150,5,857653693,123,6,84150
"43274",290,1089,4,974942304,827,25,2901089
"100830",610,164179,5,1493845631,9374,111,610164179
"23784",164,1587,3,999708350,1189,29,1641587
"12895",82,5414,4,1084466661,3845,43,825414
"58574",382,186,3,1515173845,157,115,382186
"72674",469,1754,4,965334475,1307,24,4691754
"53983",356,3977,2.5,1229143200,2962,67,3563977
"10535",68,1088,3.5,1158534614,826,56,681088
"89620",580,6300,5,1176755682,4306,59,5806300
"95621",600,3988,2.5,1237764602,2972,69,6003988
"46024",305,1207,4.5,1460135352,907,105,3051207
"97334",605,56152,3.5,1277175777,6609,75,60556152
"95872",601,908,4.5,1521467823,690,116,601908
"49726",318,97168,4.5,1413646563,7980,98,31897168
"53506",353,47,5,831939731,43,2,35347
"38322",263,1967,4,941590364,1443,20,2631967
"16186",104,56367,4,1411775508,6621,98,10456367
"28976",200,1020,5,1229889847,778,67,2001020
"28791",199,2943,4,940543988,2213,20,1992943
"27112",183,2951,3,992331540,2220,28,1832951
"63602",414,4081,2,1073680625,3043,42,4144081
"23623",160,3996,5,990188238,2979,28,1603996
"73498",474,1353,4.5,1100291485,1040,46,4741353
